district,year,population,violent_cases,property_cases,women_safety_cases,accident_cases,unemployment_rate,traffic_density_index,economic_activity_index,police_units_per_100k,forensic_capacity_ratio,forensic_staff_shortage_index,case_processing_delay_index,data_transparency_flag,shock_year_flag
Central Delhi,2008,600000,38,130,31,81,1.22,0.13,0.13,1.67,0.73,0.65,0.27,1,0
North Delhi,2008,900000,63,169,42,112,2.14,0.31,0.28,1.56,0.73,0.45,0.3,0,0
South Delhi,2008,2800000,185,591,131,374,8.54,0.51,1.01,1.54,0.57,0.73,0.53,1,0
East Delhi,2008,1700000,108,312,88,223,3.32,0.56,0.36,1.76,0.63,0.63,0.4,0,0
West Delhi,2008,2000000,134,374,109,281,7.72,0.93,0.72,1.8,0.58,0.47,0.42,0,0
North East Delhi,2008,2800000,182,534,149,362,6.5,0.97,0.67,1.75,0.57,0.75,0.51,0,0
North West Delhi,2008,2300000,138,489,119,320,7.97,0.44,0.68,1.52,0.81,0.62,0.22,0,0
South East Delhi,2008,2000000,128,386,104,274,7.47,0.65,0.46,1.7,0.78,0.6,0.3,0,0
South West Delhi,2008,2200000,147,433,99,270,3.83,0.83,0.62,1.64,0.82,0.49,0.22,1,0
Shahdara,2008,2900000,182,530,138,360,11.12,1.26,1.07,1.76,0.79,0.47,0.3,0,0
New Delhi,2008,200000,14,43,9,24,0.44,0.06,0.08,1.5,0.55,0.58,0.49,0,0
Central Delhi,2009,608999,38,119,33,79,1.75,0.24,0.18,1.81,0.84,0.49,0.21,0,0
North Delhi,2009,913499,59,168,47,123,1.63,0.24,0.4,1.53,0.59,0.57,0.51,0,0
South Delhi,2009,2841999,198,607,136,402,7.18,1.07,1.05,1.65,0.58,0.69,0.45,0,0
East Delhi,2009,1725499,106,356,90,210,4.94,0.42,0.64,1.51,0.76,0.54,0.33,0,0
West Delhi,2009,2029999,132,380,111,295,4.61,0.78,0.85,1.67,0.71,0.48,0.3,1,0
North East Delhi,2009,2841999,207,592,139,373,9.55,1.32,1.24,1.76,0.74,0.43,0.28,1,0
North West Delhi,2009,2334500,161,427,109,326,3.92,0.51,0.81,1.71,0.75,0.48,0.32,0,0
South East Delhi,2009,2029999,132,432,106,293,6.5,0.72,0.46,1.58,0.63,0.49,0.47,0,0
South West Delhi,2009,2233000,162,465,120,302,6.73,0.74,0.56,1.7,0.63,0.41,0.43,0,0
Shahdara,2009,2943499,216,651,161,388,5.01,1.4,0.92,1.8,0.84,0.7,0.19,0,0
New Delhi,2009,202999,14,39,9,27,0.78,0.08,0.07,1.48,0.73,0.75,0.28,0,0
Central Delhi,2010,618000,45,133,33,88,1.55,0.16,0.26,1.62,0.81,0.72,0.24,0,0
North Delhi,2010,927000,67,196,49,134,3.47,0.26,0.28,1.51,0.72,0.41,0.33,0,0
South Delhi,2010,2884000,189,604,134,359,10.34,0.83,0.67,1.66,0.78,0.48,0.28,0,0
East Delhi,2010,1751000,109,362,90,247,5.88,0.86,0.59,1.6,0.79,0.49,0.25,0,0
West Delhi,2010,2060000,128,463,113,293,5.4,0.46,0.5,1.55,0.71,0.65,0.36,0,0
North East Delhi,2010,2884000,216,622,150,404,7.63,0.72,0.85,1.73,0.55,0.44,0.45,0,0
North West Delhi,2010,2369000,174,507,121,299,6.67,0.77,0.58,1.6,0.67,0.62,0.39,0,0
South East Delhi,2010,2060000,137,435,106,303,6.6,0.46,0.45,1.7,0.56,0.61,0.53,0,0
South West Delhi,2010,2266000,152,480,115,314,8.75,0.67,1.03,1.77,0.61,0.42,0.4,0,0
